#Table1
objid,ra,dec,magnitude,redshift
1237667444048527503,194.507132631156,27.853558836155,16.8009,0.01897641
1237665440441958468,194.508327614179,28.4563605444073,17.45331,0.1612748
1237667442973737082,191.835018105781,27.2468043950342,17.68361,0.02583187
1237667442973737507,191.836253871515,27.3046033453007,22.21011,0.5377327
1237667322187809424,196.59366993011,26.3246613498392,22.89064,0.5913471
1237667322187808877,196.59379834661,26.3496784966032,18.91921,0.256818
1237665440979616459,196.605381597596,28.8207187765549,23.43671,0.5639421
1237667321651003470,196.629876908604,25.8188629891152,18.92675,0.2010722
1237667912745353226,196.64385329752,25.4779751151543,18.49099,0.1503716
1237667443512443657,196.650767781213,27.3674370342371,21.05274,0.3614295
1237667324335227635,196.662351353407,28.0663765672458,21.86952,0.5643803
1237667912207892587,195.191402962131,25.1483511996071,18.96449,0.1796634
1237665440442220666,195.198940425114,28.4061455505202,17.77555,0.06196388
1237667442975048378,195.20532252086,27.0009281033037,22.84306,0.5668793
1237667911134216301,195.209048702813,24.3255570007573,18.13945,0.1032438
1237667448880234528,192.333033532693,25.9112871457371,19.29916,0.272845
1237667442437063468,192.375468014233,26.7234351757086,21.25692,0.5282345
1237667254018966111,193.284569612167,29.6321052707733,22.14251,0.528654
1237667444585070698,193.740684123007,28.3084255897581,15.91584,0.02105071
1237667444048199801,193.749631690213,28.0391108960139,18.64771,0.1549479
1237667322187153533,194.887100717312,26.3219543199076,19.64081,0.3168063
1237667254019555450,194.89059135413,29.5894067608686,18.03378,0.08487955
1237667441901240653,194.900379031514,26.240914397963,20.90972,0.4081631
1237667446733800126,194.908102032715,24.1265458045564,21.89526,0.5204498
1237667447270670907,194.912299869501,24.6400990756823,20.86444,0.4887166
1237667444048658530,194.917791129631,27.9682328399179,16.48264,0.02527304
1237667324334571816,194.919697520844,28.1446092010012,18.36689,0.02564753
1237667442974982263,194.936973219114,26.95480030691,17.48546,0.0342463
1237667324334506876,194.818330433631,28.1197060310844,22.48321,0.5158741
1237667324334571543,194.834154529007,28.074282015804,16.79081,0.02388773
1237667322723958957,194.842093748212,26.79710243348,17.49467,0.02151099
1237665440442089845,194.852211062583,28.5055867651963,24.01426,0.6401686
1237667323797962919,195.473273903821,27.6009990360232,18.56455,0.1595515
1237665428626866323,195.504164578305,29.510275721413,17.77699,0.04797958
1237667443510149287,190.749298864811,27.68590781802,17.45018,0.09263263
1237667441899602371,190.750686836694,26.3868270422188,21.37139,0.4505084
1237667322722976561,192.251384529956,26.9320950776698,23.16349,0.6393504
1237667441900847149,193.926132487282,26.328111434956,17.69021,0.03555855
1237667324334178431,193.969260359415,28.1194442304042,17.91648,0.1114079
1237667253481963700,192.968531704538,29.1807473214961,20.08996,0.2654566
1237667322724221175,195.535553261101,26.8578313218018,20.53778,0.3106601
1237665441514782889,192.193280349988,29.5411103806491,22.29263,0.5447177
1237667442436997195,192.195217519847,26.7486071456004,16.65077,0.04516598
1237667252944830503,192.20139276535,28.7580303370071,21.28153,0.4340284
1237665441514782775,192.206189884662,29.4242700206983,16.63761,0.02262077
1237667254019227680,194.000147131819,29.6821330909188,18.89109,0.1815926
1237667444585136289,194.014968319146,28.4347748393722,16.54003,0.02277359
1237667441900913385,194.022518892056,26.1891332610696,23.53402,0.6352296
1237667911671153179,195.464498957995,24.7966882986472,21.87563,0.6122767
1237667323797439213,194.259097506788,27.8036190151765,21.71965,0.4927881
1237667446733538087,194.275926423029,24.2661236992066,22.32085,0.545596
1237667253482488240,194.280067318101,29.0627334207158,18.05674,0.02507045
1237667443510214762,190.812044766546,27.731238087986,18.88836,0.193158
1237667443510214870,190.871402605354,27.7533242456747,19.26314,0.1972233
1237667252944830607,192.267082291645,28.8858493959226,16.96035,0.06109829
1237667323796717646,192.281656056254,27.7972776750751,16.4098,0.02093829
